contexte	nb_utilisations	nb_cilbe_n	nb_cible_v	réponse_mod
éteind le	1	1	0	n
monsieur il	1	0	1	s'
ça aurait	1	0	0	pas
là toute	1	1	0	n
d' argent	1	1	0	parce+que
dans leur	2	2	0	v
aussi en	1	0	0	v
parce+que ce	1	1	0	sont
lui faire	2	0	2	un
reste du	1	1	0	n
prend une	1	1	0	parce+que
doit être	2	0	1	v
finisse de	1	0	1	n
plus au	1	1	0	n
es un	8	8	0	n
veut pas	5	0	5	v
nouveau ça	1	0	1	v
pas méchant	1	0	1	le
et le	27	24	0	n
tailler la	1	1	0	n
non les	2	2	0	n
bout de	5	4	0	n
sais à	1	0	0	quoi
plonge à	1	0	1	la
a remis	1	0	0	de
passer la	1	1	0	petite
toi tout	1	0	0	le
là ta	1	1	0	n
Babar tu	1	0	1	v
mettra le	1	1	0	n
vu une	3	2	0	n
non y+a	1	0	0	pas
d' autre	2	1	0	dans
sers toute	1	1	0	n
enfin un	1	1	0	n
oeuf d'	1	1	0	v
un qui	1	1	0	est
essayer de	7	0	7	v
clipo à	1	0	1	la
yeux tous	1	1	0	les
mangera des	1	1	0	n
colorier là	1	1	0	c'
bosse une	1	1	0	n
il rigole	1	0	0	là
droite la	1	1	0	n
montres ton	1	1	0	n
dit la	1	1	0	petite
mangé au	1	1	0	n
mouchoisr qui	1	0	1	v
Spot comment	1	0	0	on
non petit	1	0	0	n
combien d'	1	1	0	v
toi les	2	2	0	n
{ jaune	1	0	0	pour
poussin a	1	0	1	v
propre cette	1	1	0	n
cartes et+puis	1	0	0	on
tu nous	12	3	9	v
alors ils	1	0	0	sont
la balle	2	0	0	comme
a du	6	4	2	n
touches de	1	1	0	n
avait des	2	2	0	n
dans ses	2	2	0	n
lui disais	1	1	0	que
Pie se	1	0	1	v
va voir	1	1	0	ce
cette fois	1	0	0	c'
chambre d'	1	0	0	Amé
bien au	1	1	0	n
citron des	1	1	0	n
attendra l'	1	1	0	n
lever une	1	1	0	n
{ s'il+te+plaît	1	0	0	qu'
le premier	1	1	0	n
bâteau a	1	0	1	v
du bleu	1	0	0	foncé
peut+être encore	1	0	0	sur
oui un	4	4	0	n
fait cette	1	1	0	n
ouais plus	1	0	0	de
je ne	1	0	1	v
parle de	1	0	1	n
miettes les	1	0	0	n
appelle des	1	1	0	n
est+ce+que tu	2	0	1	v
enfants sont	1	0	1	des
mais le	5	5	0	n
où ça	2	0	1	v
t' en	16	1	15	v
faire un	15	14	0	n
pense ça	1	0	0	v
ça reste	1	0	0	toujours
vas te	3	0	3	v
Jarabotte à	1	0	0	la
manger le	2	2	0	n
eau et	1	0	0	sans
appelle cet	2	2	0	n
affaires de	1	1	0	maman
vêtement de	1	1	0	n
asseoir les	1	1	0	n
plus ou	1	0	0	alors
fera des	1	1	0	n
remets pas	1	0	0	v
ouh faut	1	0	1	pas
du grand	1	1	0	méchant
oui je	5	0	4	v
avec ton	5	5	0	petit
soit une	1	0	0	bonne
ou petit	1	0	0	n
{ faire	1	0	1	du
veux du	2	2	0	n
Hippolyte à	1	0	0	la
te font	1	1	0	peut+être
est rigolo	1	0	0	comme
doryphore qui	1	0	1	v
tu y	6	1	5	v
bonhomme alors	1	0	0	tu
là faut	1	0	1	v
dix petits	1	1	0	n
plein de	11	11	0	n
télévision tout	1	0	0	le
je te	41	2	36	v
aller chez	1	1	0	Lea
fait tant	1	1	0	n
{ cette	2	2	0	n
tracteur par	1	1	0	là
un adorable	1	1	0	
parce+qu' à	2	1	0	l'
on aurait	3	1	0	pas
toi pour	1	1	0	v
sert pour	1	0	1	tout
maman elle	5	0	5	v
est à+côté+des	1	1	0	
la laisser	1	0	1	dedans
{ c'etait	1	1	0	
assis mais	1	0	0	c'
pas s'	2	0	2	v
rouler la	1	1	0	n
gratter des	1	1	0	n
bon je	1	0	1	v
{ quel	6	4	1	n
mou mon	1	1	0	n
propre ce	1	1	0	que
gardes celui+ci	1	0	0	il
dessous de	1	1	0	n
trouvais jolie	1	0	0	petite
{ petits	1	1	0	n
chaque jour	1	0	0	depuis
encore la	3	3	0	n
petit garçon	1	0	0	qui
que Pie	1	0	1	qui
{ y	1	0	1	en
ouais on	1	0	1	v
en as	9	1	2	v
sais tu	1	0	0	v
peu ce	1	1	0	que
semaine Monsieur	1	0	0	Peureux
et sans	1	1	0	v
Chi j'	1	0	1	ai
su la	1	0	1	n
éternité en	1	0	0	a
le dis	1	0	0	tout
blanc tout	1	0	0	le
je t'	26	0	25	v
une île	1	0	0	
est si	1	1	0	tu
la même	17	17	0	n
un bébé	2	2	0	n
coin coin	7	7	0	qui
si on	19	0	14	v
la valise	1	0	0	de
faire autre	6	6	0	n
vite se	1	0	1	v
on n'	1	0	1	a
le l'	1	0	1	n
là en	3	2	1	plus
coinces les	1	1	0	n
Plume le	1	1	0	n
bah tant	1	1	0	n
de te	8	0	8	v
voilà des	1	1	0	et
le ciel	1	1	0	est
l' as	18	2	13	v
des galeries	1	0	0	
tâche du	1	1	0	n
attendre quelques	1	1	0	n
est très	11	1	1	très
du lait	2	1	0	à
il embête	1	0	0	
eu des	1	1	0	n
un vieil	1	1	0	
vas aller	1	1	0	où
va leur	1	0	1	v
planter les	3	3	0	n
haut des	1	1	0	n
dis un	1	1	0	n
voir autre	1	1	0	n
on les	15	4	11	v
compte ses	1	1	0	n
vont pas	1	1	0	le
une rivière	1	0	0	la
fait de	2	0	1	la
que ces	1	1	0	n
paire de	1	1	0	n
sais dire	1	0	0	le
donne des	1	1	0	n
appuies plus	1	1	0	de
tiens la	2	2	0	n
prend autre	1	1	0	n
qu'est+ce+qu' on	6	0	6	v
toujours la	2	2	0	même
une bonne	6	6	0	n
de bébé	2	1	0	v
la bague	1	0	0	de
sac à	2	2	0	la
ils seront	1	0	0	déjà
le fasse	1	0	1	avec
crains les	1	1	0	n
les faire	3	0	3	de
voiture qui	1	0	1	s'
non au	1	1	0	n
ailes du	1	1	0	n
a la	5	5	0	n
être plus	1	1	0	grande
euh mh	1	1	0	qui
était à	1	0	0	la
celui+là il	1	1	0	est
enlèves ta	1	1	0	n
laissé nos	1	1	0	n
va à	1	0	0	la
toujours très	1	0	0	bien
mets sa	1	1	0	n
la nettoyer	1	1	0	son
loin et	1	1	0	puis
euh tourner	1	0	0	les
eh la	1	1	0	n
fleur a	1	0	0	v
encore le	1	0	0	n
espèce de	4	4	0	n
va trop	2	0	0	de
fourchette un	1	1	0	n
as la	3	2	0	n
tout+le+monde est	1	0	1	pas
debout debout	1	0	0	là
y+a le	11	11	0	n
si parce+qu'	1	0	0	il
pas aux	1	1	0	n
frère jacques	1	0	1	
histoire de	8	4	0	petit
dès le	2	1	0	n
pendant le	1	1	0	n
piste le	1	1	0	n
pendant+que tu	1	1	0	v
poules sont	1	0	1	v
donner du	1	1	0	n
aller me	1	0	1	v
tous ses	3	3	0	n
anorak euh	1	0	0	v
attraper les	1	1	0	petits
ouh+la+la ils	1	0	1	se
sept ours	1	0	0	brun
mercredi avec	1	0	0	les
première page	1	0	0	là
grosses hein	1	0	0	tu
donnes un	3	3	0	n
ou un	4	4	0	n
décoré son	1	1	0	n
tout+à+l'heure j'	1	0	1	avais
lac au	1	1	0	n
ai très	1	1	0	bien
{ cet	1	1	0	n
ouais aux	1	1	0	n
faire du	8	8	0	n
un affreux	1	1	0	
de bêtise	1	0	0	ça
fait un	22	21	0	n
entre deux	1	1	0	n
fois il	1	0	1	a
puzzle de	1	1	0	n
sauté du	1	1	0	n
Pierre cet	1	1	0	n
veux une	3	3	0	autre
deux même	1	1	0	n
éloigne en	1	0	1	a
grouah quand	1	0	1	tu
{ Madame	1	0	0	Terreur
des jolis	1	1	0	n
agrippe très	1	0	0	fort
le truc	2	1	0	de
un chat	1	0	1	qu'est+ce
{ moi	4	0	0	je
{ par	4	3	0	n
il les	5	3	2	a
refaire des	3	2	0	n
mangent la	1	1	0	n
alors par	1	1	0	la
lui fait	1	1	0	n
prendre les	2	2	0	n
regarde elle	1	0	1	est
guili guili	3	3	0	n
pilotes qui	1	0	0	v
fermée la	1	1	0	n
rappelles la	1	0	0	n
pas d'	4	3	1	n
amènes les	1	1	0	n
un jour	1	0	0	on
chevaux ils	1	0	1	sont
bosses au	1	1	0	n
demandes de	2	0	2	n
menque des	1	1	0	n
peuvent se	3	0	3	v
oh non	1	0	1	on
événements qui	1	0	1	v
regarde en	1	1	0	v
ça là	1	0	0	c'
si la	2	2	0	n
livre de	5	1	0	la
petit ours	4	0	0	brun
muscles tu	1	0	1	v
pas tu	1	0	1	v
à ce	3	3	0	n
ça en	3	1	1	v
fête chez	1	0	0	n
quelqu'un là	1	0	0	c'
risque de	2	0	2	tout
sortir là	1	0	0	c'
toi des	3	3	0	n
sirop de	1	1	0	n
enlever ton	3	3	0	n
viens m'	1	0	1	v
une culotte	1	0	0	c'
enfin plutôt	1	0	0	un
quatre poussins	1	0	1	v
quel ça	1	0	1	v
doit avoir	1	1	0	déjà
une semaine	1	0	0	dernière
trop bien	2	0	0	v
toi en	1	1	0	a
cuire les	1	1	0	n
