contexte	nb_utilisations	nb_cilbe_n	nb_cible_v	réponse_mod
céréale des	1	1	0	n
boit le	1	1	0	n
pas plus	1	0	0	haut
ouvrir la	1	1	0	n
pour ma	1	1	0	n
de jamais	1	0	1	v
avec tes	3	3	0	n
fasse des	1	1	0	n
il me	6	0	1	v
de s'	2	0	2	v
quand Mar	1	0	0	elle
boules du	1	1	0	n
Babar va	1	0	0	v
bien une	2	1	0	grosse
pas nous	1	0	1	v
{ ouh	3	1	1	la
laver les	3	3	0	n
bête qui	2	2	0	v
il veut	5	0	4	v
{ peut+être	1	0	0	qu'
soeurs de	1	0	0	Pierre
ramasse les	1	1	0	n
amène le	1	1	0	n
trois quatre	6	0	0	cinq
place tu	1	0	0	v
longe l'	1	1	0	n
des trucs	1	0	0	au
tire la	3	3	0	n
perdu un	1	1	0	juste
y+a quelqu'un	1	1	0	au
peut+être hein	1	0	1	v
{ l'	27	26	0	n
la police	1	0	0	
non elle	1	1	0	est
marches toute	1	1	0	n
ferme le	1	1	0	n
pour une	1	1	0	n
fais la	2	2	0	n
voilà belle	1	1	0	n
on et	1	0	1	puis
nez les	1	1	0	n
bouton de	1	1	0	n
la connais	2	0	0	pas
a mal	1	0	1	à
faire passer	1	1	0	par
qui va	1	0	1	v
{ comme	5	4	0	ça
sourire en	1	1	0	a
grosse araignée	1	1	0	c'
y+a ton	2	2	0	petit
vraiment un	2	2	0	n
pris les	1	1	0	n
appelle un	1	1	0	n
prépare ta	1	1	0	n
est coquin	1	0	0	hein
sur ton	14	14	0	n
nous dit	1	1	0	que
{ madame	1	1	0	j'
manque les	2	1	0	n
pieds puis	1	0	1	tu
{ et	24	3	2	puis
pommes de	1	1	0	n
pas attendu	1	0	0	
la caméra	1	1	0	ce
oh ces	1	1	0	n
{ d'	1	1	0	v
ses ses	1	0	0	n
faire ton	3	1	0	n
chercher les	7	7	0	n
fait des	20	19	1	n
mis de	1	1	0	la
voulais encore	1	0	1	un
sont de	5	0	0	quelle
prenne ta	1	1	0	n
lécher le	1	1	0	n
qui ai	1	0	1	le
ou sur	1	0	0	le
parfois elles	1	0	1	sont
y vas	1	0	0	toute
{ parce+que	1	0	0	là
une énorme	1	1	0	ce
sortir des	1	1	0	n
autrement le	1	1	0	n
il y	1	0	1	a
au prochain	1	1	0	n
{ au	12	10	0	n
gâteau aux	1	1	0	n
livre est	1	0	1	v
cornet de	1	1	0	n
mhm ça	2	0	2	c'
as perdu	1	0	0	tout
chaussures de	1	1	0	papa
des petites	6	6	0	n
est+ce+que ça	4	0	4	v
colorié le	1	1	0	n
petite boule	1	0	0	de
confortable comme	1	1	0	ça
renversé là	1	0	0	c'
qui lui	1	0	1	v
marqué une	1	1	0	n
travers du	1	1	0	n
pour au	1	1	0	n
est du	18	16	0	n
envers les	1	1	0	n
les même	1	1	0	n
place à	1	0	0	maman
barrettes qui	1	0	1	v
avait trois	1	1	0	n
ça intéresse	1	0	0	pas
bien s'	2	0	2	v
peu ces	1	1	0	n
fermer hein	1	0	0	tu
nous qui	1	0	1	v
points la	1	1	0	n
quelle couleur	4	0	0	il
reprend dans	1	0	0	la
dessines toi	1	0	0	tu
{ fait	1	0	1	v
pinces à	1	1	0	la
retourne la	1	1	0	n
ballon d'	1	1	0	v
un solide	1	1	0	
même une	1	1	0	n
transporte une	1	1	0	n
L comme	1	0	0	ça
on jouait	1	0	0	à
maman la	1	1	0	grande
montres les	1	1	0	n
ira plus	1	0	0	de
la fonction	2	2	0	
cette deuxième	1	1	0	n
non là	1	0	0	y+a
il secoue	1	0	0	ses
grenouille faut	1	0	1	v
trouves des	2	2	0	n
ce serait	1	0	0	pas
autre petit	1	1	0	n
qu'est+ce+qu' il	14	0	12	v
huit cochons	1	0	0	où
page d'	1	1	0	v
Pierre lapin	1	0	1	par+ce
mer quelle	1	1	0	n
{ rø	1	1	0	
pas trop	10	2	3	le
demandée la	1	1	0	n
{ là	4	3	1	c'
peux les	1	0	1	v
laisses encore	1	0	0	un
est grosse	1	0	0	n
{ ouais	6	1	1	c'
Mar je	1	0	1	v
elle s'	6	0	6	v
une fenêtre	1	0	1	peut+être
{ pouce	1	1	0	il
tu a	1	0	1	mis
un hippopotame	1	1	0	sur
toucher le	2	2	0	n
sortir du	1	1	0	n
abord tout	1	0	1	le
théâtre demande	1	0	0	comment
les poussins	1	0	0	de
veux les	6	0	6	deux
aussi tu	2	0	2	v
ça lui	2	0	2	v
guilis toute	1	1	0	n
la trouvais	1	0	0	
un papillon	1	1	0	avec
crois qu'une	1	1	0	
a deux	4	3	0	n
vois qui	1	0	1	est
vais me	1	0	1	v
que t'	3	0	3	as
sont trop	1	0	0	grandes
fera ça	1	1	0	v
des grosses	1	1	0	n
{ trop	1	0	1	de
tu te	47	6	40	v
soif semble	1	0	0	que
feutres on	1	1	0	v
peu tes	1	1	0	n
tu prends	1	0	0	la
{ merci	3	2	0	ben
{ deux	16	16	0	n
vais l'	1	0	1	v
{ coin+coin	1	1	0	bien
pas ton	4	4	0	n
poussin qui	1	0	0	v
vent qui	1	0	1	les
papa il	3	1	2	v
jouer du	1	1	0	n
pointues les	1	1	0	n
debout ils	1	0	1	sont
qu' ça	1	0	1	v
y+a pas	4	2	0	de
elle en	1	0	1	v
veux un	4	4	0	n
mettre en	3	3	0	n
les en	1	1	0	a
sous le	8	8	0	n
remis une	1	1	0	n
crèche des	1	1	0	n
tout+à+l'heure le	1	1	0	n
hein faut	1	0	1	pas
celles+là elles	1	0	0	sont
petit en	1	1	0	a
bah je	2	0	2	v
square s'	1	0	1	v
être en	2	2	0	n
voudrais des	2	2	0	n
cher un	1	1	0	n
à nouveau	1	0	0	sur
puis y+a	1	0	1	le
m' emmener	1	0	1	tout
les trois	2	2	0	petits
bras tout	1	0	0	le
forme parce+que	1	1	0	tu
habits pour	1	0	0	v
on t'	5	0	5	v
carottes à	1	1	0	la
remettre la	1	1	0	n
après pour	1	0	1	v
enlève tes	1	1	0	n
moment tu	1	0	1	v
ou au	1	1	0	n
des les	1	1	0	n
vers tes	1	1	0	n
a les	7	7	0	n
fête des	1	1	0	n
tout est	5	1	3	n
et sa	2	2	0	maman
fois dans	1	0	0	le
{ douvement	1	0	0	
apès qu'est+ce+que	1	0	1	tu
il se	30	2	25	v
girafe dans	1	0	0	la
même le	1	1	0	n
tu peux	15	1	14	v
offres des	2	2	0	n
{ heureusement	1	0	0	que
est mes	1	1	0	n
{ pou	1	1	0	tu
comment ça	4	0	4	s'
qui te	4	1	2	v
l' écurie	1	0	0	
est ma	1	1	0	n
voici maman	1	1	0	elle
tu parles	2	1	0	de
marcher les	1	1	0	n
ongle du	1	1	0	n
pile de	1	1	0	n
Pie et	1	0	0	puis
ferment tous	2	2	0	les
fois tu	1	0	1	en
aïe la	1	1	0	n
pas promené	1	0	0	de
montreras ta	1	0	0	n
jette son	1	1	0	n
{ souffle	1	1	0	Tim
compris ça	1	0	0	v
bah tu	1	0	0	v
fait les	3	3	0	n
de toi	1	0	0	pour
ça allait	1	0	1	trop
pendant la	1	1	0	n
la fait	1	0	1	pas
plutôt l'	1	1	0	n
lui a	2	0	2	v
de Babar	1	0	1	v
que au	1	1	0	n
mare l'	1	1	0	n
deux en	1	0	1	même+temps
parents sont	1	0	1	les
au+revoir à	2	0	0	la
dû t'	1	0	1	v
colorie en	1	0	0	quelle
talents d'	1	1	0	v
fait son	1	1	0	n
petite bête	1	0	0	qui
l' avais	1	0	1	pas
va peut+être	2	0	1	v
vu ce	1	1	0	qui
pourquoi il	2	0	2	v
pièces du	1	1	0	n
sorti le	1	1	0	n
vois elle	2	0	2	est
forme le	1	1	0	n
faire ces	1	1	0	n
les laisses	1	0	1	comme
trois fois	1	0	0	que
ben je	1	0	1	v
là du	2	2	0	n
Mar la	1	1	0	n
mettait du	1	1	0	n
acheter le	1	1	0	n
plutôt pour	1	0	0	les
est presque	1	1	0	ça
moulinée ces	1	0	0	n
mh des	1	1	0	n
{ maître	2	2	0	dans
là ton	1	1	0	n
pousser le	2	2	0	n
vu elle	1	0	1	est
on connaît	1	0	0	pas
nez qui	2	0	2	v
nous chante	1	1	0	pas
oiseaux qui	1	0	0	s'
peur en	1	0	0	a
{ parti	2	2	0	en
euh on	1	0	1	v
euh euh	1	1	0	on
lions trois	1	1	0	n
yaourt aux	1	1	0	n
marqué joyeux	1	1	0	n
envie de	3	0	3	v
elle y	1	0	1	est
ben on	6	0	5	v
de Mar	1	0	1	je
reposes le	1	0	0	n
trouve un	2	2	0	autre
plus vite	1	0	0	comme
raquettes aux	1	1	0	n
un beau	5	5	0	n
hein on	4	1	3	v
reste en	2	2	0	n
va bientôt	1	1	0	v
{ plus	3	3	0	n
sais y+a	1	0	0	pas
le trait	1	1	0	et
l' écrabouilles	1	1	0	
mets une	3	3	0	petite
fenêtre du	1	1	0	n
dit ce	1	1	0	sont
faut appuyer	2	0	0	sur
qui il	2	0	2	a
va commencer	1	0	0	par
boîte pense	1	0	0	que
mis où	1	0	0	est+ce+qu'
après le	2	2	0	n
éventuellement les	1	1	0	n
si je	2	1	1	v
mets bien	1	0	0	à
le chat	1	0	1	il
en couche	1	0	0	comme
tu connais	2	0	0	les
reste de	1	1	0	la
mhm le	2	2	0	n
ramené l'	1	1	0	n
la deuxième	4	4	0	n
acheté des	1	0	0	n
que de	3	3	0	v
peut+être qui	1	0	0	v
est cogné	1	0	0	contre
rouge+gorge un	1	1	0	n
attendsje te	1	1	0	v
pas pierre	1	1	0	tout
es à	1	1	0	nouveau
voilà il	2	0	2	v
tous des	1	1	0	n
peu de	21	20	0	n
portent les	1	1	0	n
chercher l'	1	1	0	autre
pas avoir	2	2	0	n
va te	2	0	2	v
une autre	15	14	1	n
quoi ça	3	0	3	comme
vraiment une	1	1	0	n
un temps	1	1	0	pour
{ E	1	0	1	
je sors	1	0	0	les
lequel l'	1	1	0	n
ça vient	1	0	0	d'
mais la	1	1	0	n
dans sa	5	5	0	n
les as	1	0	1	v
mode de	3	0	0	chez
pareil mon	1	0	0	n
lieu de	1	0	1	v
ah on	3	0	3	v
peut plus	2	0	2	v
canard en	1	1	0	a
proposes comme	1	1	0	ça
feu est	1	0	1	pas
as bientôt	1	0	1	pouvoir
la je	1	0	1	suis
je voudrais	2	0	0	une
tu joues	1	0	0	avec
four micro	1	1	0	et
mis aux	1	1	0	n
chercher la	6	4	1	n
trop gros	2	1	0	ce
joli petit	1	1	0	n
Peureux Monsieur	1	0	0	Peureux
se fasse	2	1	0	avec
peut+être te	1	0	1	v
veu ça	1	0	0	v
aux quilles	1	0	0	dans
faire toi	1	0	0	tu
après euh	1	0	0	on
retourne une	1	0	0	autre
des apprentis	2	2	0	
a lue	1	0	0	beaucoup
vends des	1	1	0	n
tu pouvais	1	0	1	pas
avait très	1	1	0	bien
toute la	7	6	1	n
partout toute	1	1	0	n
vers la	3	3	0	n
là pour	2	0	2	v
vois l'	2	2	0	n
dans ce	11	11	0	n
les poires	1	0	0	et
câlin à	1	1	0	maman
hop+hop+hop le	1	1	0	n
par+terre les	1	1	0	n
pris un	1	1	0	n
vérifié les	1	1	0	n
puis tu	2	0	2	v
est au	6	6	0	n
assiette la	1	1	0	n
hein ça	3	1	1	v
le rossignol	1	0	1	
crotte de	1	1	0	n
Hippolyte a	2	2	0	v
Ame tu	1	0	1	v
tiens les	2	2	0	n
Casimir il	1	0	1	v
oh et	1	0	0	ça
rainette et	2	2	0	n
moins de	1	0	0	n
rhôôô ben	1	0	0	oui
attends mais	1	0	0	je
minou deux	1	1	0	n
Mar tu	1	0	1	v
la cuisine	1	0	0	ce
cassette d'anne	1	0	0	
que la	8	4	0	n
faut la	3	0	3	v
déchiré tout	1	0	0	le
bien ces	1	1	0	n
veux ne	1	0	0	v
retrouver le	1	1	0	deuxième
verte à	1	0	0	la
sais ce	1	1	0	que
le mettre	3	2	0	dans
ouh tu	2	1	1	v
toc ils	1	0	0	sont
{ Mar	1	0	1	elle
vacances avec	1	1	0	les
tu lui	18	7	11	v
quatre crocodiles	1	0	0	dans
les baguettes	1	0	0	
elle utilise	1	0	0	pour
m'ammènes un	1	1	0	n
monter en	1	1	0	a
distribue des	1	1	0	n
mais quelle	1	1	0	est
pour voir	2	0	0	si
enlève les	1	1	0	n
fait trop	2	0	0	de
ai regardé	1	0	0	ce
combien ça	1	0	1	t'
acheté ce	1	1	0	que
étais un	1	1	0	n
madame euh	1	1	0	v
dans le	79	79	0	n
consomme des	1	1	0	n
nez aux	1	1	0	n
elle euh	1	0	1	avec
beaucoup trop	1	0	0	de
eu l'	2	2	0	n
embauché chez	1	0	0	n
parles quelle	1	1	0	n
maman et	1	0	0	le
haut du	3	3	0	n
une vraie	1	1	0	n
Papi et	1	0	0	Mamie
ferme du	1	1	0	n
doudou à	1	0	0	la
{ dame	1	1	0	qui
prince de	1	0	0	n
ben la	1	1	0	voilà
donnes une	2	1	0	tu
arriver à	1	0	1	le
{ est	3	0	2	pas
l' a	28	1	23	v
plus grande	1	1	0	que
qui je	1	0	1	v
change les	1	1	0	n
vois les	3	2	0	petits
ah tes	1	1	0	n
chanson avec	2	2	0	le
le dos	2	0	2	comme
mais si	2	0	2	tu
remis la	1	1	0	n
ouh ça	1	0	1	c'
en manges	1	0	0	de
Mar faut	1	0	0	v
en mille	1	1	0	
vas à	1	0	0	la
ah du	2	2	0	n
viens dans	1	0	0	la
approche mais	1	0	0	c'
{ du	12	12	0	n
suis mal	1	0	1	à
y en+avait	1	0	0	encore
vont se	3	0	3	n
mais tu	8	0	7	v
les jambes	1	0	1	un
on aille	1	0	1	v
la grosse	2	2	0	n
couleur ces	1	1	0	n
as tu	1	0	0	des
et Pierre	1	0	0	n
pas fait	1	1	0	pour
lequel petit	1	1	0	n
drole de	1	1	0	n
chasse aux	1	1	0	n
dû s'	1	0	1	v
est+ce+qu' elle	3	0	2	est
{ remarque	1	0	0	c'
Afrique ils	1	0	1	sont
couper les	1	1	0	n
les range	1	0	0	les
vais le	6	1	5	v
un joli	1	1	0	n
soir tu	1	0	1	as
prend le	4	3	0	n
trompe les	1	1	0	n
pas une	14	11	0	n
on re	1	0	1	v
vraiment pas	1	0	0	ben
comme une	1	0	1	n
ceux+là tu	1	0	0	v
reprends une	1	1	0	n
je crois	2	0	0	que
en même	10	10	0	n
peux m'	2	0	2	v
maintenant le	1	1	0	n
pas grand	2	2	0	n
entrebailler la	1	1	0	n
{ son	4	4	0	n
autres des	1	1	0	n
camions les	1	1	0	n
bien faire	1	0	1	après
est encore	1	0	0	un
meugle maman	2	2	0	elle
tellement le	1	1	0	n
nous vous	1	0	1	v
et va	1	0	0	v
votre magasin	1	1	0	
peut nous	1	0	1	v
pas bébé	1	0	0	et
oh ce	1	1	0	beau
vont être	2	0	0	contents
vois faut	1	0	1	pas
est cette	1	1	0	n
méchants n'	1	0	0	v
enlèves ton	2	2	0	n
loin les	1	1	0	n
pourquoi deux	1	1	0	n
dans quel	2	2	0	n
ville en	1	1	0	a
le fais	6	1	4	v
une voiture	1	1	0	de
vite ce	1	1	0	que
me faire	1	0	1	v
qu'est+ce+qu' ils	14	0	1	v
ou des	2	2	0	petits
maison des	1	1	0	n
va le	12	0	12	v
une caméra	1	1	0	pour
essaie de	5	0	4	v
met les	3	3	0	n
avec ces	3	3	0	petites
faudrait comme	1	1	0	ça
chercher des	2	1	0	n
descend les	1	1	0	n
histoire passe	1	0	1	v
qui sont	11	0	6	v
cassé l'	2	2	0	n
alors bonne	1	1	0	n
le prend	1	0	0	comme
y+a son	1	1	0	papa
fini par	1	0	1	une
{ Monsieur	2	0	0	Bruit
des mauvaises	1	1	0	
continuer le	1	1	0	n
vrai ce	1	1	0	que
dis on	1	0	1	v
pour l'	10	10	0	n
qu' petit	1	1	0	n
demander deux	1	1	0	n
amener ton	1	1	0	n
alors meuh	1	0	1	
avec cette	4	4	0	n
sais les	1	1	0	n
amuse tout	1	0	0	le
de l'	35	29	6	n
yeux se	2	2	0	v
veut un	1	1	0	n
euh vendredi	1	0	0	
attention ça	1	0	1	c'
collier de	1	1	0	n
bas au	1	1	0	n
plie la	1	1	0	n
pied de	1	1	0	ce
fais pour	1	0	1	le
télé à	1	1	0	la
{ drôle	1	1	0	de
une une	1	1	0	grande
t' as	11	2	5	v
suis ton	1	1	0	n
pour sa	1	1	0	maman
papi et	2	2	0	n
{ pas	10	3	4	le
a dit	3	0	0	qu'
{ vas+y	3	1	2	v
Bonhomme est	1	1	0	pas
eau qui	1	0	1	a
de tes	2	2	0	n
les ronds	1	0	0	on
déjà un	3	3	0	n
où la	10	9	0	n
parce+que Pie	1	0	1	qui
vide ta	1	1	0	n
{ qu'est+ce+qui	2	1	1	v
remets un	1	1	0	petit
le zouave	1	0	0	
de trois	2	2	0	n
queue en	1	1	0	a
{ notre	1	0	0	n
ni chaud	1	0	0	ou
promène la	1	1	0	n
vissais ce	1	1	0	que
facile à	1	0	1	la
vois là	1	0	0	il
résultat est	1	0	0	pas
un coup	2	2	0	de
tomber les	1	1	0	n
ses trois	1	1	0	n
ah il	4	1	2	est
pas quetu	1	0	0	
sur ces	1	1	0	n
ça on	8	0	4	v
ils ne	1	0	1	v
ai demandé	1	0	0	combien
très souvent	1	0	1	ça
bâton de	1	1	0	n
mordu tout	1	0	0	le
a quatre	1	1	0	cinq
milieu tu	1	0	1	v
a failli	2	0	2	v
dans son	8	8	0	n
qu' est	1	0	1	ce
s'apelle une	1	1	0	n
haut à	1	0	0	la
{ petit	17	11	0	n
pas à	5	0	1	l'
front beaux	1	1	0	ces
oh un	4	4	0	bon
être trop	1	0	0	chaud
il avait	3	1	2	un
toiture je	1	0	1	v
as appris	1	0	0	à
la mer	2	0	0	avec
compter le	1	1	0	n
fort et	1	1	0	puis
aura trois	1	1	0	n
ils font	1	1	0	les
vrai un	1	1	0	n
regarde un	1	1	0	petit
ont pas	4	1	2	v
avec du	3	2	0	n
mhm mon	1	0	0	n
est bien	8	1	3	ça
retournes pour	1	0	1	v
{ t'	10	0	10	as
celles de	1	0	0	papa
il parla	1	0	0	
nombre de	1	1	0	n
équitation le	1	1	0	n
qu'est+ce+que ça	3	0	2	v
quelle merveilleuse	1	1	0	
il aime	1	0	1	bien
trouva Monsieur	1	0	0	Peureux
hein Cailloux	1	0	0	
et ces	1	1	0	n
faut les	3	0	3	v
que tu	75	11	52	v
mets le	12	9	0	n
a vite	1	0	1	v
regarder la	4	4	0	n
{ a	2	1	1	pas
dans ta	29	29	0	n
y sont	1	0	1	les
attend du	1	1	0	n
veux de	1	0	0	la
vois le	3	3	0	n
viens t'	4	0	4	v
es tout	1	0	0	n
expliques à	1	0	0	la
niche du	1	1	0	n
regonflé les	1	1	0	n
moque du	1	1	0	n
{ cinq	3	3	0	c'
vois il	4	0	2	v
dire les	2	2	0	n
une très	1	0	0	bonne
tes peites	1	1	0	
tes petits	2	2	0	n
ombre du	1	1	0	n
c' est	333	43	42	pas
jouer aux	7	6	0	n
va regarder	1	0	0	un
dis+donc ça	1	0	0	v
donner ma	1	1	0	n
vous avez	1	0	1	v
très têtu	1	0	0	
vue le	1	1	0	n
jeter le	1	1	0	n
es pas	8	3	1	bien
avec ta	3	3	0	n
regarde il	6	0	6	est
bâton on	1	0	1	v
temps a	1	0	1	v
doudou il	1	0	0	v
on a	24	4	14	v
dirait des	1	1	0	n
la chasse	1	0	0	la
pond avec	1	0	0	les
ils sont	16	1	4	v
vraiment ça	1	0	1	v
vont de	1	1	0	n
euh ses	1	1	0	n
est tellement	1	0	0	forte
arrive à	2	1	0	les
était son	1	1	0	n
faut une	2	1	0	grosse
veux pas	5	0	5	v
vache qui	1	0	1	se
même un	2	2	0	petit
perdu les	1	1	0	n
y en	1	1	0	a
tracteur à	1	0	0	la
elle veut	2	0	2	v
hein mon	1	0	0	n
ami le	2	2	0	n
pourrait l'	1	0	1	v
fait deux	2	2	0	n
veux que	1	0	0	je
te l'	1	0	1	a
fermer la	1	1	0	n
avec son	9	9	0	autre
les de	1	1	0	quoi
a au	1	1	0	dessus
vais traduire	1	0	0	
grain de	1	1	0	n
un bel	1	1	0	n
nous entende	1	0	1	
et tiens	1	0	0	v
puis il	5	0	5	v
trop grand	1	0	0	pour
pour s'	6	0	6	v
une gentille	1	1	0	cette
voir plus	1	0	0	de
va nous	1	0	1	v
laisse le	1	1	0	n
aura le	1	0	0	n
tout existé	1	0	0	
hop+là la	1	1	0	n
y jouez	1	0	0	
va plus	5	0	4	v
pris cette	1	1	0	n
pour couper	1	0	0	les
{ gros	2	2	0	n
pas pour	3	0	2	les
celui+ci là	1	0	0	c'
rechercher le	1	0	0	n
être ce	1	1	0	n
soit le	1	1	0	n
vois un	2	1	0	n
il suffit	1	0	0	pas
tempérament qui	1	0	1	v
pas vraiment	1	0	1	des
es en	3	2	1	n
{ apprécient	1	0	0	
la tasse	2	0	0	verte
patte du	1	1	0	n
quand tu	8	3	5	v
paillettes elles	1	0	1	sont
qu'est+ce+qui fait	1	0	0	ce
on joue	5	0	0	à
cochons neuf	1	1	0	et
maquillée en	1	1	0	a
comprends ça	1	0	1	v
on pourrait	2	0	2	v
herbe bien	1	1	0	v
les cheveux	1	0	0	sur
quelle petite	1	1	0	n
fond du	1	1	0	n
veux l'	2	1	1	v
de poils	1	0	0	les
rester grand	1	1	0	n
es au	3	3	0	n
de couleur	1	1	0	quand+même
morceau du	2	2	0	n
était une	3	3	0	bonne
faire de	3	1	0	la
enfin la	1	1	0	n
bon les	1	1	0	n
vais m'	4	0	4	v
non il	4	1	2	est
il t'	2	0	2	a
toujours ses	1	1	0	n
rends la	1	1	0	n
manteau oui	1	1	0	un
as tout	10	1	6	v
ça il	3	0	1	v
garder ma	1	1	0	n
aller chercher	1	0	0	un
avec la	32	30	0	n
sors du	1	1	0	n
s' appelle	11	1	0	comment
ou à	1	0	0	des
t' auras	1	0	0	plus
tout seul	2	0	0	dans
dû être	1	0	1	v
mange mon	1	1	0	n
fais du	4	4	0	n
transporte les	1	1	0	n
{ faut	25	0	20	v
casse les	3	3	0	n
hein il	1	0	1	est
dessiné des	1	1	0	n
nuages de	1	1	0	n
prendsla petite	1	1	0	n
pas se	2	0	2	v
{ Mimi	1	0	1	v
{ puis	1	0	0	tu
besoin du	1	1	0	n
je vois	1	0	0	pas
voitures les	1	1	0	n
faut des	3	3	0	verts
aller dans	2	1	0	l'
aujourd'hui elle	1	0	1	v
le costume	1	0	0	
celle d'	1	0	0	v
milieu du	2	2	0	n
voir euh	1	1	0	la
est son	3	2	0	n
mon premier	1	1	0	n
ta chambre	1	0	0	on
rouges et	1	0	0	puis
café à	1	0	0	la
mettre le	13	13	0	n
remets la	1	1	0	toute
lave tes	1	1	0	n
lances la	1	1	0	n
a pas	28	7	14	v
vu la	1	1	0	n
est Tite	1	0	0	n
détruit une	1	1	0	n
voulais me	1	0	1	v
voisins en	1	0	0	a
un ce	1	1	0	que
et cinq	1	1	0	six
avion de	1	1	0	Babar
fwt du	1	1	0	n
jours la	1	0	0	n
te fasse	1	0	0	deux
chat de	2	0	0	Lau
une tête	1	0	0	de
ton prochain	2	2	0	n
trouvé comme	1	1	0	ça
jus de	2	2	0	n
ai à	1	1	0	cette
elles lui	1	0	0	v
le petit	44	44	0	n
abîme les	1	1	0	n
ramasser les	2	2	0	n
peux mettre	1	0	0	là
pas tout+à+fait	1	0	1	le
coupe les	1	1	0	n
{ très	1	0	0	bien
mets un	1	1	0	n
comme il	2	0	2	v
nez de	1	1	0	n
s ont	5	1	3	v
ce pauvre	1	1	0	Val
marcher cette	1	1	0	n
dirait un	1	1	0	n
avait une	1	1	0	n
{ peut	1	0	1	v
mettre à	1	0	0	la
milieu en	1	1	0	a
avec les	28	25	0	n
aussi qui	1	0	0	te
caresses les	1	1	0	n
des chaussons	1	0	0	au
pas mes	1	1	0	ʃo
oui ce	3	1	0	sont
y+a petit	1	1	0	n
animaux du	1	1	0	n
ça le	3	1	2	n
vas l'	2	0	2	v
je fais	3	2	1	pas
{ viens	2	0	2	v
viens mettre	1	0	0	dans
aimé ça	1	0	0	v
arrive de	1	0	1	n
jouer au	2	2	0	n
accrocher la	1	1	0	petite
veux faire	2	1	1	un
passe là+bas	1	0	0	dans
oui six	1	0	0	n
fondre la	1	1	0	n
chaussettes qui	1	0	1	v
tiens du	1	1	0	n
voir le	1	1	0	n
de petites	1	1	0	n
on veut	1	0	1	v
a cinq	1	1	0	six
coin des	1	1	0	n
font la	2	2	0	n
plutôt un	1	1	0	n
ont une	2	2	0	belle
marre et	1	0	0	puis
tu retournes	1	0	0	au
depuis ce	1	1	0	n
ça se	21	4	17	v
par+ce que	1	0	0	je
les prends	1	0	0	tous
gratte la	1	1	0	n
Bruit rendit	1	0	1	
aimes la	1	1	0	n
met un	2	2	0	petit
va s'	8	0	8	v
mieux ce	1	1	0	que
développement se	1	0	1	v
sortent des	1	1	0	n
{ bah	9	1	5	c'
creusent des	1	1	0	n
tour une	1	0	0	n
prends des	2	2	0	n
maintenant mais	1	0	0	c'
ma maman	1	1	0	elle
saute pour	1	0	1	v
a été	4	0	2	v
la bouche	1	0	0	je
faire pour	1	0	1	v
à tes	3	3	0	n
ours huit	1	0	0	n
qu'est+ce qui	1	0	0	est
lanières de	1	1	0	n
oui très	1	0	0	bien
pas mon	1	1	0	n
euh l'	3	3	0	autre
voit au	1	1	0	moins
qu'est+ce+qui nous	1	0	1	v
voit les	4	4	0	n
la prendra	1	0	0	pour
la verte	1	0	0	je
ça te	10	1	9	v
ses deux	1	0	0	n
a commence	1	1	0	à
peu ça	1	0	1	v
cette timidité	1	0	0	
comme la	2	2	0	n
sur l'	19	19	0	n
tu leur	2	0	2	v
enlèvent pas	1	0	0	v
ben le	3	3	0	n
alors faudrait	1	0	1	qu'
chercher et	1	0	1	puis
doigts tous	1	0	0	les
fin Pinocchio	1	1	0	était
d'abord les	3	2	0	n
instant de	1	1	0	n
{ soyez	1	0	0	
hein ces	2	2	0	n
gros ventre	1	0	0	comme
trouver un	5	5	0	petit
et elle	3	0	3	est
peu l'	1	1	0	n
est le	92	83	0	n
a a	1	0	1	v
être une	2	1	0	bonne
oh tu	5	0	5	v
lui arrive	1	0	0	à
ranger les	1	1	0	n
tous bien	1	0	1	v
grand les	1	1	0	n
y+a d'	1	0	1	autre
bien rangé	1	0	0	là
sais il	1	0	1	est
couper la	2	2	0	n
Monsieur Peureux	2	0	1	pour
avis ce	1	0	0	que
elles vont	4	0	3	toutes
prendre une	5	5	0	par
Margote le	1	0	1	n
attends tu	1	0	1	v
rideaux d'	1	1	0	v
lit du	1	1	0	n
aller t'	1	0	1	v
à ces	1	1	0	n
aux pieds	1	0	0	de
manque un	3	3	0	n
ben ça	1	0	1	v
prennes des	1	0	0	n
qu' on	59	2	42	v
tuyau d'	1	1	0	v
{ il	83	7	67	v
boucles d'	1	1	0	v
doit le	1	0	1	n
les orange	1	0	0	vert
et en	2	1	1	plus
serait plus	1	0	0	simple
{ Tim	1	0	1	tu
il soit	1	0	1	de
hibou se	1	0	1	v
même trois	1	1	0	n
le chiffre	1	1	0	
terminé le	3	3	0	n
sais faire	2	0	1	du
là parce+qu'	1	0	0	il
donnes le	1	1	0	n
comme un	2	2	0	n
feu d'	2	2	0	v
les autres	8	8	0	il
voilà un	1	0	0	six
euh des	3	3	0	n
tourne qui	1	0	1	v
demande des	1	1	0	n
bah faut	2	0	1	pas
servi à	1	1	0	la
le voir	1	0	0	hein
tout+le+monde se	1	0	1	v
tu fais	16	10	1	comme
ce fanfaron	1	0	1	
partie de	1	1	0	l'
moins elle	1	0	0	v
fois le	1	1	0	n
qu'est+ce+que j'	1	0	1	ai
et ils	5	0	4	sont
longs tes	1	1	0	n
yeux qui	1	0	1	v
drôlement bien	1	0	1	v
on reste	1	0	1	en
le là	1	0	0	le
