bourrique	1
paysan	1
mauvaise	4
saut	7
mare	26
spot	18
mime	1
station	4
tas	6
ruban	3
notice	1
piqûre	4
poste	2
ourson	4
échappement	1
relève	3
travail	37
mesdames	3
univers	1
mamie	54
étal	1
ballade	1
bol	7
sucré	1
librairie	1
lego	9
catastrophe	17
technicien	1
mouvement	1
monocle	1
glu	1
papier	12
flanc	1
prisonnier	1
costume	1
bras	73
fort	72
maillot+de+bain	6
cordon	2
rame	1
fraise	39
gilet	8
marque	3
étable	5
encre	3
lionne	5
simagrée	1
moteur	18
douze	2
veille	1
poêle	2
caisse+enregistreuse	1
habitué	2
tiède	5
maille	2
rentrée	2
facture	1
jeu	124
facteur	1
aspiration	1
or	3
orange	60
direct	1
doryphore	2
encrier	3
insecte	4
poussier	12
fillette	1
crochet	10
chanteur	2
moustache	6
médicament	7
pneu	1
test	1
drôle	34
tunnel	22
rein	5
faîte	2
question	11
blond	2
longue	8
toiture	1
conducteur	5
jeté	2
concombre	1
photo	42
taxi	4
étale	1
chouette	3
nage	5
mystère	1
minou+minou	14
magasin	26
frayeur	1
lourde	1
gorge	7
pistolet	1
ventre	42
a	1
gourmand	7
main	261
grain	8
mer	35
inconnu	1
génération	1
farce	1
fleur	151
géant	1
messieur	16
traîne	1
toc	4
copain	12
école	46
contre	21
doute	2
cachette	3
bricoleur	4
silencieux	1
nom	24
compliqué	29
pays	6
repris	4
ping+pong	5
bretzel	1
parent	7
tableau	23
écran	5
frais	1
sourcil	5
daltonien	1
bourriquet	3
parfait	1
tronc	20
muraille	1
serpent	28
soleil	54
roseau	3
bouchée	2
amour	4
sot	2
coup+de+pied	1
rose	83
ville	9
progrès	3
cheveu	54
canon	3
toboggan	25
serrure	3
grésillement	7
coquinou	1
avion	45
magie	1
permis	1
acrobatie	2
marchand	10
palais	1
huile	1
geste	6
rouge+à+lèvres	3
démarche	1
escalier	8
descendeur	1
oreille	130
treize	1
commandant	1
croquet	1
cuisson	1
concours	1
do+dos	99
ambiance	1
château	42
animal	77
salle+de+bain	9
technologie	1
coiffure	2
éléphanteau	7
prince	3
perle	35
cocorico	1
baba	1
frigo	17
caban	4
envoyé	1
orage	3
gommette+gommette	31
épée	5
chapeau	50
remorque	14
rapport	6
pédale	4
partition	3
bagarre	2
poubelle	38
radical	1
siège	8
paquet	32
amande	1
change	9
loup	36
petit+déjeuner	5
chenille	22
voyage	8
début	13
plafond	3
quille	8
second	12
armoire	18
souffle	53
laine	2
fabrique	1
boutique	1
cil	4
fée	5
gueule	1
coton	7
vaisselle	15
moquette	3
traduction	1
tendre	2
peu	609
boule	33
amusement	1
coup	120
appartement	1
affiche	1
piéton	1
rendu	1
avis	43
bureau	5
buffle	5
violon	2
sel	12
porcherie	4
vacance	36
centre	1
hyène	2
côté	148
tutu	1
lapin	159
aura	35
lion	28
poulain	3
accordéon	19
lieu	10
panne	3
paye	1
demande	24
re	7
collant	4
spectacle	10
principal	1
sèche+cheveux	5
explosion	1
transat	4
panthère	9
meilleur	3
aperçu	1
nénuphar	8
tarte	4
gymnastique	5
bibi	1
pomme+de+terre	2
dessin+animé	7
berger	13
plinthe	1
option	1
palmier	14
part	15
démonstration	6
effort	5
calculatrice	1
écureuil	21
genoux	24
confetti	1
accident	12
fenouil	8
aiguille	4
loto	21
rigole	2
litre	4
lecture	2
restaurant	12
violette	16
raisin	5
piano	27
doudou	262
image	78
rallonge	1
tricolore	1
soir	42
molosse	1
clef	17
automne	4
orque	2
magicien	8
kilomètre	2
rainure	1
carotte	63
équilibriste	1
rangée	3
escabeau	3
menotte+menotte	1
chausson	79
nouveau+né	1
perceur	11
jour	43
abeille	30
dresseur	1
pompe	5
cinquante	2
épicerie	9
support	1
requin	4
plateau	5
balle	69
virage	3
pin	4
lampadaire	2
ortie	2
nez	175
buveur	1
hibou	18
galopin	1
pardon	2
fantastique	1
solide	14
misère	1
monde	41
coccinelle	25
succès	1
téléphone	64
comptine	2
brouette	4
béton	6
thermomètre	1
nuit	35
radis	6
beurre	27
voyou	18
seau	13
kleenex	3
trotteur	1
fromage	28
foire	1
chemin	12
bagage	1
caprice	11
sauvage	2
jonquille	4
ferme	63
